,Name,Image,Shade,Color
1937,Spotlight Glow Stick 14 gBeige.jpg,Spotlight Glow Stick 14 g-Beige.jpg,Beige,"[[202.0, 145.0, 96.0]]"
1938,Beige Spotlight Glow Foundation Stick 14 gBeige.jpg,Beige Spotlight Glow Foundation Stick 14 g-Beige.jpg,Beige,"[[202.0, 145.0, 96.0]]"
1939,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Pecan.jpg,Pecan,"[[212.77272727272728, 172.71212121212122, 131.90909090909088]]"
1940,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Brownie.jpg,Brownie,"[[133.9473684210526, 91.26973684210525, 53.33552631578948]]"
1941,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Beige.jpg,Beige,"[[188.5, 153.51477832512316, 115.45073891625613]]"
1942,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Beige Caramel.jpg,Beige Caramel,"[[176.4916512059369, 133.734693877551, 88.9220779220779]]"
1943,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Milk Cake.jpg,Milk Cake,"[[190.2739212007505, 159.13320825515945, 136.77861163227016]]"
1944,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Pralines Cake.jpg,Pralines Cake,"[[191.27945205479455, 157.88310502283105, 120.2922374429224]]"
1945,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Cheese Cake.jpg,Cheese Cake,"[[186.87281553398054, 168.46213592233005, 144.5320388349515]]"
1946,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Peanut Butter.jpg,Peanut Butter,"[[207.47099236641222, 157.61603053435115, 96.02595419847324]]"
1947,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Chocolate Mousse.jpg,Chocolate Mousse,"[[230.95652173913044, 185.3478260869565, 156.2608695652174]]"
1948,Ultra Definition Liquid Foundation Honey 30 ml,Ultra Definition Liquid Foundation- Honey 30 ml-Honey.jpg,Honey,"[[226.17142857142855, 194.90857142857143, 158.22857142857143]]"
